爸爸爱妈妈。|/Bàba ài māmā/|Dad loves Mom.
你身上有钱吗？|/Nǐ shēnshang yǒu qián ma/|Do you have any money on you?
你身体好吗？|/Nǐ shēntǐ hǎo ma/|How are you feeling?
你想吃什么？|/Nǐ xiǎng chī shénme/|What would you like to eat?
他昨天生病了。|/Tā zuótiān shēng bìng le/|He was sick yesterday.
妈妈生气了。|/Māmā shēngqì le/|Mom is angry.
你的生日是几月几号？|/Nǐ de shēngrì shì jǐ yuè jǐ hào/|What is your birthday?
他十岁就会游泳。|/Tā shí suì jiù huì yóuyǒng/|He could swim when he was ten years old.
你什么时候去北京？|/Nǐ shénme shíhòu qù Běijīng/|When are you going to Beijing?
时间过得真快。|/Shíjiān guò dé zhēn kuài/|Time flies.
这是一件重要的事。|/Zhè shì yī jiàn zhòngyào de shì/|This is an important matter.
我可以试一试吗？|/Wǒ kěyǐ shì yī shì ma?/|Can I give it a try?
他是我的好朋友。|/Tā shì wǒ de hǎo péngyǒu/|He is my good friend.
这件事是不是你做的？|/Zhè jiàn shì shì bùshì nǐ zuò de/|Did you do this?
请把手洗干净。|/Qǐng bǎ shǒu xǐ gānjìng/|Please wash your hands thoroughly.
我的手机在那里。|/Wǒ de shǒujī zài nàlǐ/|My phone is there.
我喜欢看书。|/Wǒ xǐhuan kàn shū/|I enjoy reading.
我的书包里有苹果。|/Wǒ de shūbāo lǐ yǒu píngguǒ/|There are apples in my schoolbag.
我喜欢去书店。|/Wǒ xǐhuan qù shūdiàn/|I like going to bookstores.
这里有一棵大树。|/Zhè lǐ yǒu yī kē dà shù/|There is a big tree here.
我想喝水。|/Wǒ xiǎng hē shuǐ/|I want to drink water.
我每天都吃水果。|/Wǒ měitiān dōu chī shuǐguǒ/|I eat fruit every day.
他昨天晚上睡得很早。|/Tā zuótiān wǎnshàng shuì de hěn zǎo/|He went to bed early last night.
孩子们都去睡觉了。|/Háizǐmen dōu qù shuìjiào le/|The children have all gone to bed.
我会说汉语。|/Wǒ huì shuō Hànyǔ/|I can speak Chinese.
请不要大声说话。|/Qǐng bùyào dàshēng shuōhuà/|Please do not speak loudly.
他家有四口人。|/Tā jiā yǒu sì kǒu rén/|There are four people in his family.
我送你一本书。|/Wǒ sòng nǐ yī běn shū/|I'll give you a book.
她今年二十岁了。|/Tā jīnnián èrshí suì le/|She is twenty years old this year.
他是我的朋友。|/Tā shì wǒ de péngyǒu/|He is my friend.
他们在学校学习。|/Tāmen zài xuéxiào xuéxí/|They study at school.
她喜欢听音乐。|/Tā xǐhuan tīng yīnyuè/|She likes listening to music.
她们正在看书。|/Tāmen zhèngzài kàn shū/|They are reading a book.
这个菜太好吃了。|/Zhège cài tài hǎochī le/|This dish is so delicious.
今天天气很好。|/Jīntiān tiānqì hěn hǎo/|The weather is great today.
他在听歌。|/Tā zài tīng gē/|He was listening to music.
我听到了你的声音。|/Wǒ tīngdào le nǐ de shēngyīn/|I heard your voice.
你听见了吗？|/Nǐ tīngjiàn le ma/|Did you hear that?
我们今天有听写考试。|/Wǒmen jīntiān yǒu tīngxiě kǎoshì/|We have a dictation test today.
这是我的同学。|/Zhè shì wǒ de tóngxué/|This is my classmate.
学校里有三个图书馆。|/Xuéxiào li yǒu sān gè túshū guǎn/|There are three libraries at the school.
我们去外面吃饭吧。|/Wǒmen qù wàimiàn chīfàn ba/|Let's go out to eat.
外边有很多漂亮的花。|/Wàibian yǒu hěnduō piàoliang de huā/|There are many beautiful flowers outside.
他是外国人。|/Tā shì wàiguó rén/|He is a foreigner.
你会说几种外语？|/Nǐ huì shuō jǐ zhǒng wàiyǔ/|How many foreign languages ​​can you speak?
孩子们喜欢玩儿游戏。|/Háizimen xǐhuān wánr yóuxì/|Children love to play games.
现在太晚了，快睡吧。|/Xiànzài tài wǎn le, kuài shuì ba/|It's too late now, go to sleep.
我们一起吃晚饭吧。|/Wǒmen yìqǐ chī wǎnfàn ba/|Let's have dinner together.
晚上我们一起去看电影吧。|/Wǎnshàng wǒmen yìqǐ qù kàn diànyǐng ba/|Let's go see a movie together tonight.
现在很多人喜欢在网上买东西。|/Xiànzài hěnduō rén xǐhuān zài wǎngshàng mǎi dōngxī/|Many people now prefer to buy things online.
我有很多网友。|/Wǒ yǒu hěnduō wǎngyǒu/|I have many online friends.
我忘了带钱包。|/Wǒ wàng le dài qiánbāo/|I forgot my wallet.
请不要忘记明天的会议。|/Qǐng bú yào wàngjì míngtiān de huìyì/|Please don't forget tomorrow's meeting.
你可以问问老师这个问题。|/Nǐ kěyǐ wèn wèn lǎoshī zhège wèntí/|You can ask your teacher this question.
我是学生。|/Wǒ shì xuéshēng/|I am a student.
我们是好朋友。|/Wǒmen shì hǎo péngyǒu/|We are good friends.
她今天买了五个苹果。|/Tā jīntiān mǎi le wǔ gè píngguǒ/|She bought five apples today.
我们一起去吃午饭吧。|/Wǒmen yīqǐ qù chī wǔfàn ba/|Let's go have lunch together.
我家在学校西边。|/Wǒ jiā zài xuéxiào xībiān/|My home is located to the west of the school.
现在我要洗衣服。|/Xiànzài wǒ yào xǐ yīfu/|Now I need to do the laundry.
请问，洗手间在哪里？|/Qǐngwèn, xǐshǒujiān zài nǎlǐ/|Excuse me, where is the restroom?
我很喜欢吃中国菜。|/Wǒ hěn xǐhuan chī Zhōngguó cài/|I really enjoy Chinese food.
上有父母，下有儿女。|/Shàng yǒu fùmǔ, xià yǒu érnǚ/|I have parents above me and children below me.
下课后一起去吃饭吧。|/Xiàkè hòu yīqǐ qù chīfàn ba/|Let's go eat together after class.
我今晚八点下班。|/Wǒ jīn wǎn bā diǎn xiàbān/|I get off work at 8 p.m. tonight.
桌子下边有一只猫。|/Zhuōzi xiàbian yǒu yī zhī māo/|There is a cat under the table.
我要在这一站下车。|/Wǒ yào zài zhè yí zhàn xià chē/|I'm getting off at this stop.
下次我们一起去看电影吧。|/Xià cì wǒmen yīqǐ qù kàn diànyǐng ba/|Let's go to the movies together next time.
下课后，我们去喝奶茶吧。|/Xiàkè hòu, wǒmen qù hē nǎichá ba/|Let's go get some milk tea after class.
我下午三点有个会议。|/Wǒ xiàwǔ sān diǎn yǒu gè huìyì/|I have a meeting at 3 PM.
今天会下雨，你带伞了吗？|/Jīntiān huì xiàyǔ, nǐ dài sǎn le ma/|It's going to rain today, did you bring an umbrella?
你先去，我等一下再去。|/Nǐ xiān qù, wǒ děng yīxià zài qù/|You go first, I'll go later.
这位是李先生。|/Zhè wèi shì Lǐ xiānsheng/|This is Mr. Li.
我现在就去做。|/Wǒ xiànzài jiù qù zuò/|I'll do it now.
我想去日本旅游。|/Wǒ xiǎng qù Rìběn lǚyóu/|I want to travel to Japan.
这只狗很小，很可爱。|/Zhè zhī gǒu hěn xiǎo, hěn kě'ài/|This dog is small and cute.
小孩儿喜欢玩游戏。|/Xiǎoháir xǐhuan wán yóuxì/|Kids like to play games.
王小姐是我的同事。|/Wáng xiǎojiě shì wǒ de tóngshì/|Ms. Wang is my colleague.
小朋友们都喜欢听故事。|/Xiǎopéngyǒu men dōu xǐhuan tīng gùshì/|Children love listening to stories.
我等了一个小时。|/Wǒ děng le yí gè xiǎoshí/|I waited for an hour.
我弟弟上小学二年级。|/Wǒ dìdi shàng xiǎoxué èr niánjí/|My younger brother is in the second grade of elementary school.
她是个聪明的小学生。|/Tā shì gè cōngmíng de xiǎoxuéshēng/|She is a smart elementary school student.
她的笑容很美。|/Tā de xiàoróng hěn měi/|Her smile is beautiful.
请写下你的名字。|/Qǐng xiě xià nǐ de míngzi/|Please write down your name.
谢谢你的帮助。|/Xièxie nǐ de bāngzhù/|Thank you for your help.
我买了一件新衣服。|/Wǒ mǎi le yí jiàn xīn yīfú/|I bought a new dress.
新年快乐！|/Xīnnián kuài lè/|Happy New Year!
这个星期很忙。|/Zhège xīngqī hěn máng/|This week has been very busy.
星期日我们去公园吧。|/Xīngqīrì wǒmen qù gōngyuán ba/|Let's go to the park on Sunday.
星期天我喜欢睡懒觉。|/Xīngqītiān wǒ xǐhuan shuì lǎnjiào/|I like to sleep in on Sundays.
这样做行不行？|/Zhèyàng zuò xíng bù xíng/|Is this a good idea?
我每天都要休息一小时。|/Wǒ měitiān dōu yào xiūxi yī xiǎoshí/|I need to rest for an hour every day.
我在学汉语。|/Wǒ zài xué Hànyǔ/|I am learning Chinese.
她是我的学生。|/Tā shì wǒ de xuéshēng/|She is my student.
我们应该认真学习。|/Wǒmen yīnggāi rènzhēn xuéxí/|We should study hard.
我们学校很大。|/Wǒmen xuéxiào hěn dà/|Our school is very big.
这个学院很大很漂亮。|/Zhège xuéyuàn hěn dà hěn piàoliang/|This college is very big and beautiful.
我想要一杯咖啡。|/Wǒ xiǎng yào yī bēi kāfēi/|I want a cup of coffee.
我爷爷每天去公园散步。|/Wǒ yéye měitiān qù gōngyuán sànbù/|My grandfather goes for a walk in the park every day.
我也喜欢吃苹果。|/Wǒ yě xǐhuan chī píngguǒ/|I also like to eat apples.
请翻到第五页。|/Qǐng fān dào dì wǔ yè/|Please turn to page five.
我只有一个妹妹。|/Wǒ zhǐ yǒu yī gè mèimei/|I only have one younger sister.
这件衣服很漂亮。|/Zhè jiàn yīfu hěn piàoliang/|This dress is beautiful.
我爸爸是一名医生。|/Wǒ bàba shì yī míng yīshēng/|My dad is a doctor.
他生病了，要去医院。|/Tā shēngbìng le, yào qù yīyuàn/|He is sick and needs to go to the hospital.
我们班一半是男生。|/Wǒmen bān yíbàn shì nánshēng/|Half of the students in our class are boys.
请等我一会儿。|/Qǐng děng wǒ yíhuìr/|Please wait for me a moment.
我们一块儿去公园吧。|/Wǒmen yíkuàir qù gōngyuán ba/|Let's go to the park together.
你等我一下儿。|/Nǐ děng wǒ yíxiàr/|Wait for me a moment.
这两件衣服一样。|/Zhè liǎng jiàn yīfu yíyàng/|These two pieces of clothing are the same.
她一边吃饭，一边看书。|/Tā yìbiān chīfàn, yìbiān kànshū/|She ate while reading.
我想喝一点儿水。|/Wǒ xiǎng hē yìdiǎnr shuǐ/|I want to drink some water.
我们一起去看电影吧。|/Wǒmen yìqǐ qù kàn diànyǐng ba/|Let's go see a movie together.
这里有一些苹果。|/Zhèlǐ yǒu yìxiē píngguǒ/|Here are some apples.
你可以用我的手机。|/Nǐ kěyǐ yòng wǒ de shǒujī/|You can use my phone.
我有一个好朋友。|/Wǒ yǒu yī gè hǎo péngyǒu/|I have a good friend.
有的人喜欢喝咖啡,有的人喜欢喝茶。|/Yǒude rén xǐhuan hē kāfēi，yǒude rén xǐhuan hē chá/|Some people like to drink coffee, while others prefer tea.
这家餐厅很有名。|/Zhè jiā cāntīng hěn yǒumíng/|This restaurant is very famous.
我有时候去图书馆学习。|/Wǒ yǒu shíhòu qù túshūguǎn xuéxí/|I sometimes go to the library to study.
这里有一些书。|/Zhèlǐ yǒu yìxiē shū/|Here are some books.
这本书很有用。|/Zhè běn shū hěn yǒuyòng/|This book is very useful.
商店在银行的右边。|/Shāngdiàn zài yínháng de yòubian/|The shop is to the right of the bank.
今天下雨了。|/Jīntiān xià yǔ le/|It rained today.
这本书五十元。|/Zhè běn shū wǔshí yuán/|This book costs fifty yuan.
我家离学校很远。|/Wǒ jiā lí xuéxiào hěn yuǎn/|My home is far from the school.
请再说一遍。|/Qǐng zài shuō yí biàn/|Please say it again.
我在家看电视。|/Wǒ zài jiā kàn diànshì/|I'm watching TV at home.
周末我一般在家休息。|/Zhōumò wǒ yībān zàijiā xiūxi/|I usually rest at home on weekends.
今天你起得很早。|/Jīntiān nǐ qǐ de hěn zǎo/|You got up very early today.
你今天吃早饭了吗？|/Nǐ jīntiān chī zǎofàn le ma/|Did you have breakfast today?
早上空气很好。|/Zǎoshang kōngqì hěn hǎo/|The air is very fresh this morning.
你怎么来学校的？|/Nǐ zěnme lái xuéxiào de/|How did you get to school?
请站在这儿。|/Qǐng zhàn zài zhèr/|Please stand here.
我要去北京站。|/Wǒ yào qù Běijīng zhàn/|I'm going to Beijing Railway Station.
我在找我的手机。|/Wǒ zài zhǎo wǒ de shǒujī/|I'm looking for my phone.
我找到钥匙了。|/Wǒ zhǎodào yàoshi le/|I found the key.
这是我的书。|/Zhè shì wǒ de shū/|This is my book.
你坐这边吧。|/Nǐ zuò zhèbiān ba/|Please sit here.
这里的风景很美。|/Zhè lǐ de fēngjǐng hěn měi/|The scenery here is beautiful.
你来这儿看看吧。|/Nǐ lái zhèr kànkan ba/|Come and take a look here.
这些水果很好吃。|/Zhèxiē shuǐguǒ hěn hǎochī/|These fruits are delicious.
他笑着说话。|/Tā xiào zhe shuōhuà/|He spoke with a smile.
这个地方真美。|/Zhège dìfāng zhēn měi/|This place is beautiful.
你真的要去吗？|/Nǐ zhēnde yào qù ma/|Are you really going?
我正在写作业。|/Wǒ zhèngzài xiě zuòyè/|I am doing my homework.
你知道他的名字吗？|/Nǐ zhīdào tā de míngzi ma?/|Do you know his name?
学习知识很重要。|/Xuéxí zhīshi hěn zhòngyào/|Learning knowledge is very important.
她站在房间中间。|/Tā zhàn zài fángjiān de zhōngjiān/|She stood in the middle of the room.
中国是一个美丽的国家。|/Zhōngguó shì yī gè měilì de guójiā/|China is a beautiful country.
我家在学校和公司中间。|/Wǒ jiā zài xuéxiào hé gōngsī zhōngjiān/|My home is located between the school and my workplace.
你的中文很好。|/Nǐ de Zhōngwén hěn hǎo/|Your Chinese is very good.
我们中午去吃饭吧。|/Wǒmen zhōngwǔ qù chīfàn ba/|Let's go have lunch.
他是我中学同学。|/Tā shì wǒ zhōngxué tóngxué/|He was my classmate in middle school.
他是一个中学生。|/Tā shì yí gè zhōngxuéshēng/|He is a middle school student.
学习汉语对我来说很重要。|/Xuéxí Hànyǔ duì wǒ lái shuō hěn zhòngyào/|Learning Chinese is very important to me.
你住在哪个城市？|/Nǐ zhù zài nǎge chéngshì/|Which city do you live in?
书在桌子上，你看见了吗？|/Shū zài zhuōzi shàng, nǐ kànjiàn le ma/|The book is on the table, can you see it?
我不认识这个字。|/Wǒ bù rènshi zhège zì/|I don't recognize this word.
你的桌子很大，很好看。|/Nǐ de zhuōzi hěn dà, hěn hǎokàn/|Your table is big and beautiful.
我们一起走吧，太晚了。|/Wǒmen yīqǐ zǒu ba, tài wǎn le/|Let's go together, it's too late.
他每天早上都走路去学校。|/Tā měitiān zǎoshang dōu zǒulù qù xuéxiào/|He walks to school every morning.
你最喜欢吃什么水果？|/Nǐ zuì xǐhuan chī shénme shuǐguǒ/|What's your favorite fruit?
下雨了，你最好带伞。|/Xiàyǔ le, nǐ zuìhǎo dài sǎn/|It's raining, you'd better bring an umbrella.
最后一个问题，你听好了。|/Zuìhòu yī gè wèntí, nǐ tīng hǎo le/|Listen carefully to the last question.
昨天天气很好，我们去公园了。|/Zuótiān tiānqì hěn hǎo, wǒmen qù gōngyuán le/|The weather was great yesterday, so we went to the park.
请往左走，那边有商店。|/Qǐng wǎng zuǒ zǒu, nàbiān yǒu shāngdiàn/|Please turn left; there are shops there.
我家在学校左边。|/Wǒ jiā zài xuéxiào zuǒbian/|My house is to the left of the school.
请坐这里，老师马上来。|/Qǐng zuò zhèlǐ, lǎoshī mǎshàng lái/|Please sit here, the teacher will be right there.
咱们坐下谈吧。|/Zánmen zuòxia tán ba/|Let's sit down and talk.
我妈做中国菜非常好吃。|/Wǒ mā zuò Zhōngguó cài fēicháng hǎochī/|My mom is an excellent cook of Chinese food.




















































































































































































































































































































































































































































































































