		
岸	/àn/	Bờ, bờ sông, bờ biển
回报	/huíbào/	Báo đáp, đền đáp
回顾	/huígù/	Nhìn lại, ôn lại
回头	/huítóu/	Quay đầu; lát nữa; nếu không
汇	/huì/	Hội tụ, chuyển khoản
汇报	/huìbào/	Báo cáo
绘画	/huìhuà/	Vẽ tranh
会见	/huìjiàn/	Gặp gỡ, tiếp kiến
汇款	/huìkuǎn/	Chuyển tiền; khoản chuyển tiền
婚姻	/hūnyīn/	Hôn nhân
混	/hùn/	Trộn lẫn; lộn xộn
混合	/hùnhé/	Trộn lẫn
混乱	/hùnluàn/	Hỗn loạn
活力	/huólì/	Sức sống, năng lượng
活跃	/huóyuè/	Hoạt bát; tích cực tham gia
火柴	/huǒchái/	Diêm
火灾	/huǒzāi/	Hỏa hoạn
货币	/huòbì/	Tiền tệ
货车	/huòchē/	Xe tải, xe chở hàng
击败	/jībài/	Đánh bại
基地	/jīdì/	Căn cứ, cơ sở
机动车	/jīdòngchē/	Xe cơ giới
饥饿	/jī’è/	Đói khát
激发	/jīfā/	Khơi dậy, kích thích
基金	/jījīn/	Quỹ, quỹ đầu tư
激励	/jīlì/	Khích lệ, thúc đẩy
激情	/jīqíng/	Đam mê, nhiệt huyết
机械	/jīxiè/	Máy móc; máy móc (tính chất)
基因	/jīyīn/	Gen
机遇	/jīyù/	Cơ hội
机制	/jīzhì/	Cơ chế
即便	/jíbiàn/	Dù cho, ngay cả khi
极端	/jíduān/	Cực đoan; cực kỳ; cực đoan
急救	/jíjiù/	Cấp cứu, sơ cứu
急切	/jíqiè/	Hấp tấp, nóng lòng
集团	/jítuán/	Tập đoàn
极为	/jíwéi/	Cực kỳ
吉祥	/jíxiáng/	Cát tường, may mắn
继承	/jìchéng/	Kế thừa
季军	/jìjūn/	Giải ba, huy chương đồng
纪律	/jìlǜ/	Kỷ luật
寂寞	/jìmò/	Cô đơn, buồn tẻ
技巧	/jìqiǎo/	Kỹ thuật, kỹ năng
技艺	/jìyì/	Nghệ thuật, kỹ nghệ
夹	/jiā/	Kẹp, kẹp chặt
加倍	/jiābèi/	Nhân đôi; gấp đôi
家常	/jiācháng/	Việc nhà, đời thường
家家户户	/jiājiāhùhù/	Từng nhà, mọi nhà
加剧	/jiājù/	Làm trầm trọng thêm
家居	/jiājū/	Đồ dùng gia đình, nội thất
家属	/jiāshǔ/	Người thân trong gia đình
加以	/jiāyǐ/	Tiến hành, bổ sung; hơn nữa
家园	/jiāyuán/	Quê hương, mái ấm
加重	/jiāzhòng/	Làm nặng thêm
假设	/jiǎshè/	Giả sử; giả thuyết
嫁	/jià/	Lấy chồng, gả
尖	/jiān/	Sắc nhọn; đầu nhọn
肩膀	/jiānbǎng/	Vai
监测	/jiāncè/	Giám sát, theo dõi
坚定	/jiāndìng/	Kiên định; củng cố
监督	/jiāndū/	Giám sát
坚固	/jiāngù/	Chắc chắn, vững chắc
坚决	/jiānjué/	Kiên quyết
艰难	/jiānnán/	Gian nan, khó khăn
艰辛	/jiānxīn/	Gian khổ, vất vả
坚硬	/jiānyìng/	Cứng, rắn chắc
兼职	/jiānzhí/	Làm thêm; việc làm thêm
检测	/jiǎncè/	Kiểm tra, xét nghiệm
简化	/jiǎnhuà/	Đơn giản hóa
简介	/jiǎnjiè/	Giới thiệu ngắn; bản giới thiệu
减弱	/jiǎnruò/	Làm yếu đi, giảm bớt
减压	/jiǎnyā/	Giảm áp lực
检验	/jiǎnyàn/	Kiểm tra, xét nghiệm
剑	/jiàn/	Kiếm
箭	/jiàn/	Mũi tên
鉴定	/jiàndìng/	Giám định, xác định; bản giám định
间隔	/jiàngé/	Khoảng cách; cách quãng
间接	/jiànjiē/	Gián tiếp
健全	/jiànquán/	Hoàn thiện, lành mạnh; hoàn thiện
建筑物	/jiànzhùwù/	Công trình kiến trúc
将军	/jiāngjūn/	Tướng quân
讲解	/jiǎngjiě/	Giải thích, thuyết minh
奖牌	/jiǎngpái/	Huy chương
奖品	/jiǎngpǐn/	Phần thưởng
酱	/jiàng/	Nước chấm, tương; ướp tương
酱油	/jiàngyóu/	Nước tương
胶带	/jiāodài/	Băng dính
焦点	/jiāodiǎn/	Tiêu điểm, tâm điểm
交际	/jiāojì/	Giao tiếp
焦虑	/jiāolǜ/	Lo lắng, bất an
胶水	/jiāoshuǐ/	Keo dính
交谈	/jiāotán/	Trò chuyện
郊外	/jiāowài/	Ngoại ô
角落	/jiǎoluò/	Góc
脚印	/jiǎoyìn/	Dấu chân
较为	/jiàowéi/	Tương đối
教训	/jiàoxùn/	Dạy cho bài học; bài học
结	/jiē/	Kết trái, sinh ra kết quả
打结	/dǎ jié/	Buộc, thắt nút
接连	/jiēlián/	Liên tiếp; liên tục
结实	/jiēshi/	Chắc chắn, khỏe mạnh
街头	/jiētóu/	Đầu phố, trên phố
杰出	/jiéchū/	Xuất sắc, kiệt xuất
节能	/jiénéng/	Tiết kiệm năng lượng
结尾	/jiéwěi/	Kết thúc; đoạn kết
截至	/jiézhì/	Tính đến, đến nay
截止	/jiézhǐ/	Kết thúc, chốt hạn
节奏	/jiézòu/	Nhịp điệu
解	/jiě/	Tháo, giải quyết
解答	/jiědá/	Giải đáp
解读	/jiědú/	Giải mã, phân tích
解放	/jiěfàng/	Giải phóng
解说	/jiěshuō/	Giải thích, bình luận
借鉴	/jièjiàn/	Học hỏi, tham khảo
戒指	/jièzhi/	Nhẫn (cưới)
借助	/jièzhù/	Nhờ vào, dựa vào
金额	/jīn’é/	Số tiền
金牌	/jīnpái/	Huy chương vàng
金钱	/jīnqián/	Tiền bạc
金融	/jīnróng/	Tài chính
金属	/jīnshǔ/	Kim loại
金子	/jīnzi/	Vàng
尽	/jìn/	Dùng hết, tận dụng; đến mức tối đa
进而	/jìn’ér/	Tiếp theo, rồi thì
进度	/jìndù/	Tiến độ
进化	/jìnhuà/	Tiến hóa
近来	/jìnlái/	Gần đây
近视	/jìnshì/	Cận thị
进展	/jìnzhǎn/	Tiến triển
精美	/jīngměi/	Tinh xảo, đẹp đẽ
精确	/jīngquè/	Chính xác
惊人	/jīngrén/	Kinh ngạc, đáng kinh ngạc
经商	/jīngshāng/	Làm kinh doanh
精通	/jīngtōng/	Thành thạo, tinh thông
精心	/jīngxīn/	Cẩn thận, chu đáo
惊讶	/jīngyà/	Ngạc nhiên
精致	/jīngzhì/	Tinh tế, cầu kỳ
精准	/jīngzhǔn/	Chính xác cao
井	/jǐng/	Giếng
警告	/jǐnggào/	Cảnh báo
景观	/jǐngguān/	Cảnh quan
景象	/jǐngxiàng/	Cảnh tượng
颈椎	/jǐngzhuī/	Đốt sống cổ
净	/jìng/	Sạch sẽ; thuần (lợi nhuận); chỉ
竞赛	/jìngsài/	Thi đấu
镜头	/jìngtóu/	Ống kính, cảnh quay
纠纷	/jiūfēn/	Tranh chấp
纠正	/jiūzhèng/	Sửa chữa, chỉnh sửa
酒精	/jiǔjīng/	Cồn, rượu etylic
酒水	/jiǔshuǐ/	Đồ uống có cồn
就读	/jiùdú/	Theo học
舅舅	/jiùjiu/	Cậu (anh/em trai mẹ)
救命	/jiùmìng/	Cứu mạng
就算	/jiùsuàn/	Dù cho
救援	/jiùyuán/	Cứu hộ, cứu trợ
救灾	/jiùzāi/	Cứu trợ thiên tai
救助	/jiùzhù/	Cứu giúp
局	/jú/	Ván, hiệp (đánh cờ, bóng)
局	/jú/	Cục, sở; tình thế
菊花	/júhuā/	Hoa cúc
局面	/júmiàn/	Tình hình, cục diện
局限	/júxiàn/	Giới hạn, hạn chế
举动	/jǔdòng/	Hành động, cử chỉ
剧本	/jùběn/	Kịch bản
聚集	/jùjí/	Tập trung, tụ tập
俱乐部	/jùlèbù/	Câu lạc bộ
剧烈	/jùliè/	Mãnh liệt, kịch liệt
捐款	/juānkuǎn/	Quyên tiền; khoản quyên góp
捐赠	/juānzèng/	Quyên tặng
卷	/juǎn/	Cuốn, cuộn; cuộn; cuộn (đơn vị)
卷	/juàn/	Quyển (sách); tập
决策	/juécè/	Quyết định; ra quyết định
绝望	/juéwàng/	Tuyệt vọng
军队	/jūnduì/	Quân đội
军人	/jūnrén/	Quân nhân
均匀	/jūnyún/	Đồng đều
卡片	/kǎpiàn/	Thẻ, bưu thiếp
开创	/kāichuàng/	Khởi xướng, mở ra
开关	/kāiguān/	Công tắc
开启	/kāiqǐ/	Mở ra, khởi động
开设	/kāishè/	Mở (cửa hàng, khóa học)
开头	/kāitóu/	Bắt đầu; phần mở đầu
砍	/kǎn/	Chặt, đốn
看不起	/kànbuqǐ/	Khinh thường
看待	/kàndài/	Xem xét, đối xử
看得起	/kàndeqǐ/	Tôn trọng, coi trọng
看好	/kànhǎo/	Đánh giá cao, lạc quan
看似	/kànsì/	Có vẻ như
看中	/kànzhòng/	Thích, chọn
看重	/kànzhòng/	Coi trọng
康复	/kāngfù/	Phục hồi sức khỏe
考察	/kǎochá/	Khảo sát, thanh tra
考古	/kǎogǔ/	Khảo cổ; ngành khảo cổ
考核	/kǎohé/	Đánh giá, kiểm tra
考验	/kǎoyàn/	Thử thách
科	/kē/	Khoa, ngành
科幻	/kēhuàn/	Khoa học viễn tưởng
科目	/kēmù/	Môn học
科普	/kēpǔ/	Phổ biến khoa học
可口	/kěkǒu/	Ngon miệng
可怜	/kělián/	Đáng thương; thương xót
渴望	/kěwàng/	Khao khát
可行	/kěxíng/	Khả thi
客车	/kèchē/	Xe khách
课题	/kètí/	Đề tài nghiên cứu
肯	/kěn/	Sẵn lòng, chịu
恐惧	/kǒngjù/	Sợ hãi
空地	/kòngdì/	Khoảng đất trống
空闲	/kòngxián/	Rảnh rỗi; thời gian rảnh
口感	/kǒugǎn/	Cảm giác miệng, độ giòn
口号	/kǒuhào/	Khẩu hiệu
口腔	/kǒuqiāng/	Khoang miệng
口头	/kǒutóu/	Bằng miệng; miệng
扣	/kòu/	Trừ tiền; nút áo
枯燥	/kūzào/	Khô khan, nhàm chán
酷	/kù/	Ngầu, cool
夸	/kuā/	Khen ngợi, khoe khoang
夸奖	/kuājiǎng/	Khen ngợi
夸张	/kuāzhāng/	Phóng đại, khoa trương
会计	/kuàijì/	Kế toán viên
快捷	/kuàijié/	Nhanh chóng, tiện lợi
款	/kuǎn/	Khoản tiền; Lượng từ cho món đồ
款式	/kuǎnshì/	Kiểu dáng, mẫu mã
亏损	/kuīsǔn/	Lỗ vốn, thua lỗ
困扰	/kùnrǎo/	Làm phiền, gây khó khăn
扩展	/kuòzhǎn/	Mở rộng
落	/là/	Để lại, tụt hậu
辣椒	/làjiāo/	Ớt
啦	/la/	Trợ từ biểu thị phấn khích/chắc chắn
来临	/láilín/	Đến, đến gần
来往	/láiwǎng/	Qua lại, đi lại
赖	/lài/	Xấu, tệ; Ỷ lại, dựa vào
拦	/lán/	Chặn lại
栏	/lán/	Lan can, cột (bài)
兰花	/lánhuā/	Hoa lan
烂	/làn/	Thối rữa, cũ nát; mềm
狼	/láng/	Sói
朗读	/lǎngdú/	Đọc to, đọc lớn
牢	/láo/	Nhà tù; Chắc chắn, vững chắc
劳动力	/láodònglì/	Lực lượng lao động
老实	/lǎoshi/	Thật thà, ngoan ngoãn
老鼠	/lǎoshǔ/	Chuột
老太太	/lǎotàitai/	Bà già, cụ bà
乐于	/lèyú/	Vui lòng, sẵn sàng
雷	/léi/	Sấm sét
类别	/lèibié/	Loại, hạng mục
理	/lǐ/	Lý lẽ; Quản lý
理财	/lǐcái/	Quản lý tài chính
理科	/lǐkē/	Khoa học tự nhiên (lý khoa)
理念	/lǐniàn/	Ý niệm, khái niệm
理性	/lǐxìng/	Lý tính, hợp lý; Lý trí
立	/lì/	Đứng, lập nên
粒	/lì/	Hạt; Lượng từ cho hạt nhỏ
立场	/lìchǎng/	Lập trường
力度	/lìdù/	Cường độ, sức mạnh
历经	/lìjīng/	Trải qua
历年	/lìnián/	Qua các năm
例外	/lìwài/	Ngoại lệ
利息	/lìxī/	Lãi suất
联合国	/Liánhéguó/	Liên Hợp Quốc
联网	/liánwǎng/	Kết nối mạng
联想	/liánxiǎng/	Liên tưởng
链接	/liànjiē/	Liên kết
两岸	/liǎng’àn/	Hai bờ (eo biển)
两极	/liǎngjí/	Hai cực
晾	/liàng/	Phơi khô, hong khô
料 (名)	/liào/	Vật liệu
料 (动)	/liào/	Đoán, dự đoán
淋	/lín/	Tưới, dội (mưa ướt)
凌晨	/língchén/	Rạng sáng, bình minh
流程	/liúchéng/	Quy trình
流动	/liúdòng/	Chảy, lưu động
浏览器	/liúlǎnqì/	Trình duyệt web
流量	/liúliàng/	Lưu lượng (mạng, giao thông)
流入	/liúrù/	Chảy vào
流通	/liútōng/	Lưu thông
楼道	/lóudào/	Hành lang (tòa nhà)
露	/lòu/	Lộ ra, để lộ
漏洞	/lòudòng/	Lỗ hổng
露	/lù/	Lộ ra, để lộ
路程	/lùchéng/	Quãng đường
路况	/lùkuàng/	Tình trạng đường
路面	/lùmiàn/	Mặt đường
录像	/lùxiàng/	Quay video; Bản ghi hình
录用	/lùyòng/	Tuyển dụng
录制	/lùzhì/	Thu âm, ghi hình
旅程	/lǚchéng/	Hành trình
旅途	/lǚtú/	Chuyến đi
履行	/lǚxíng/	Thực hiện, làm tròn
率	/lǜ/	Tỷ lệ, suất
绿化	/lǜhuà/	Xanh hóa, trồng cây xanh
轮 (量)	/lún/	Lượng từ cho vòng
轮船	/lúnchuán/	Tàu thủy
轮流	/lúnliú/	Luân phiên
轮椅	/lúnyǐ/	Xe lăn
轮子	/lúnzi/	Bánh xe
论坛	/lùntán/	Diễn đàn
落地	/luòdì/	Hạ cánh, chạm đất
落后	/luòhòu/	Tụt hậu; Lạc hậu
马虎	/mǎhu/	Cẩu thả, qua loa
码头	/mǎtóu/	Bến cảng
蚂蚁	/mǎyǐ/	Kiến
嘛	/ma/	Trợ từ nhấn mạnh (rõ ràng rồi mà)
埋	/mái/	Chôn
迈	/mài/	Bước, sải bước
麦克风	/màikèfēng/	Micrô
漫长	/màncháng/	Dài đằng đẵng
漫画	/mànhuà/	Truyện tranh
盲人	/mángrén/	Người mù
冒	/mào/	Phun ra, mạo hiểm
冒险	/màoxiǎn/	Mạo hiểm
贸易	/màoyì/	Thương mại
煤	/méi/	Than đá
梅花	/méihuā/	Hoa mai
眉毛	/méimao/	Lông mày
美观	/měiguān/	Đẹp mắt, thẩm mỹ
弥补	/míbǔ/	Bù đắp
迷人	/mírén/	Quyến rũ, hấp dẫn
密	/mì/	Mật, dày đặc
密度	/mìdù/	Mật độ
蜜蜂	/mìfēng/	Ong mật
密集	/mìjí/	Tập trung dày đặc; dày đặc
棉	/mián/	Bông, vải cotton
免	/miǎn/	Miễn, tránh
勉强	/miǎnqiǎng/	Miễn cưỡng, gượng ép; gượng làm
免税	/miǎnshuì/	Miễn thuế
免疫	/miǎnyì/	Miễn dịch
面部	/miànbù/	Khuôn mặt, phần mặt
面粉	/miànfěn/	Bột mì
面子	/miànzi/	Thể diện, mặt mũi
描绘	/miáohuì/	Miêu tả, vẽ nên
描写	/miáoxiě/	Miêu tả
妙	/miào/	Tuyệt vời, hay
灭	/miè/	Dập tắt, tiêu diệt
民歌	/míngē/	Dân ca
民间	/mínjiān/	Dân gian
民俗	/mínsú/	Phong tục dân gian
民宿	/mínsù/	Nhà nghỉ homestay
民众	/mínzhòng/	Đám đông, quần chúng
民主	/mínzhǔ/	Dân chủ; dân chủ
名额	/míng’é/	Chỉ tiêu, suất
明亮	/míngliàng/	Sáng sủa, rực rỡ
明明	/míngmíng/	Rõ ràng là, hiển nhiên
名气	/míngqi/	Danh tiếng, tiếng tăm
名胜	/míngshèng/	Danh lam thắng cảnh
命令	/mìnglìng/	Ra lệnh; lệnh
命名	/mìngmíng/	Đặt tên
模仿	/mófǎng/	Bắt chước, mô phỏng
模拟	/mónǐ/	Mô phỏng
模特儿	/mótèr/	Người mẫu
摩托车	/mótuōchē/	Xe máy
模型	/móxíng/	Mô hình
默默	/mòmò/	Lặng lẽ, thầm lặng
模样	/múyàng/	Hình dáng, vẻ ngoài
母	/mǔ/	Cái (đực/cái trong động vật)
母语	/mǔyǔ/	Tiếng mẹ đẻ
木材	/mùcái/	Gỗ, gỗ xẻ
目录	/mùlù/	Mục lục, danh mục
奶粉	/nǎifěn/	Bột sữa
难点	/nándiǎn/	Điểm khó
南极洲	/Nánjízhōu/	Châu Nam Cực
南美洲	/Nánměizhōu/	Châu Nam Mỹ
难免	/nánmiǎn/	Khó tránh khỏi
脑袋	/nǎodai/	Đầu, cái đầu
脑子	/nǎozi/	Não, óc
内涵	/nèihán/	Ý nghĩa sâu sắc, hàm ý
内科	/nèikē/	Nội khoa
内外	/nèiwài/	Trong ngoài
内衣	/nèiyī/	Quần áo lót
能量	/néngliàng/	Năng lượng
能源	/néngyuán/	Nguồn năng lượng
泥	/ní/	Bùn
年度	/niándù/	Năm (năm tài chính/học vụ)
年终	/niánzhōng/	Cuối năm
念书	/niànshū/	Học, đi học
扭	/niǔ/	Vặn, xoay
农产品	/nóngchǎnpǐn/	Sản phẩm nông nghiệp
浓厚	/nónghòu/	Nồng đậm, sâu sắc
农田	/nóngtián/	Ruộng đồng
暖	/nuǎn/	Ấm; làm ấm
暖气	/nuǎnqì/	Máy sưởi, hệ thống sưởi
偶像	/ǒuxiàng/	Thần tượng, idol
排除	/páichú/	Loại trừ, loại bỏ
排放	/páifàng/	Xả, thải ra
排练	/páiliàn/	Tập dượt
排名	/páimíng/	Xếp hạng
盘 (量/动)	/pán/	Đĩa (lượng từ); cuộn, quấn
盼望	/pànwàng/	Mong chờ, trông đợi
庞大	/pángdà/	Khổng lồ, to lớn
抛	/pāo/	Ném, vứt
泡	/pào/	Bọt; ngâm, pha
赔偿	/péicháng/	Bồi thường
陪同	/péitóng/	Tháp tùng, đi cùng
培育	/péiyù/	Trồng trọt, bồi dưỡng
配备	/pèibèi/	Trang bị; thiết bị
佩服	/pèifú/	Thán phục
配套	/pèitào/	Phối hợp hoàn chỉnh
喷	/pēn/	Phun
捧	/pěng/	Bưng hai tay; (lượng từ nắm)
碰撞	/pèngzhuàng/	Va chạm
披	/pī/	Khoác, vắt lên
皮	/pí/	Da, da thuộc; dai
疲劳	/píláo/	Mệt mỏi
片刻	/piànkè/	Khoảnh khắc
片面	/piànmiàn/	Một chiều
骗子	/piànzi/	Kẻ lừa đảo
飘	/piāo/	Bay lượn; bay bổng
漂	/piāo/	Trôi dạt
频道	/píndào/	Kênh (TV)
频繁	/pínfán/	Thường xuyên
贫困	/pínkùn/	Nghèo khó
频率	/pínlǜ/	Tần suất
品尝	/pǐncháng/	Nếm thử
平等	/píngděng/	Bình đẳng
平凡	/píngfán/	Bình thường, giản dị
平方	/píngfāng/	Bình phương; (lượng từ)
平方米	/píngfāngmǐ/	Mét vuông
评估	/pínggū/	Đánh giá, thẩm định
评论	/pínglùn/	Bình luận; bình luận
评选	/píngxuǎn/	Bình chọn, tuyển chọn
坡	/pō/	Dốc; dốc
泼	/pō/	Tạt, vẩy
破产	/pòchǎn/	Phá sản
迫切	/pòqiè/	Cấp bách, khẩn thiết
扑	/pū/	Lao vào
铺	/pū/	Trải, lát
扑灭	/pūmiè/	Dập tắt
朴素	/pǔsù/	Giản dị, mộc mạc
欺骗	/qīpiàn/	Lừa dối
期望	/qīwàng/	Mong đợi, kỳ vọng
期限	/qīxiàn/	Thời hạn
其间	/qíjiān/	Trong khoảng thời gian đó
齐全	/qíquán/	Đầy đủ, hoàn chỉnh
棋子	/qízǐ/	Quân cờ
起初	/qǐchū/	Ban đầu
起点	/qǐdiǎn/	Điểm xuất phát
启动	/qǐdòng/	Khởi động
启发	/qǐfā/	Khơi gợi, truyền cảm hứng
启示	/qǐshì/	Khải thị; sự khải thị
启事	/qǐshì/	Thông báo, thông cáo
起源	/qǐyuán/	Có nguồn gốc; nguồn gốc
气氛	/qìfēn/	Không khí, bầu không khí
气体	/qìtǐ/	Khí, chất khí
气味	/qìwèi/	Mùi, mùi vị
气质	/qìzhì/	Khí chất, phong thái
恰当	/qiàdàng/	Thích hợp, hợp lý
恰好	/qiàhǎo/	Vừa đúng, đúng lúc
恰恰	/qiàqià/	Chính là, đúng là
牵	/qiān/	Kéo, liên quan
千家万户	/qiānjiā-wànhù/	Ngàn nhà vạn hộ (mọi nhà)
谦虚	/qiānxū/	Khiêm tốn; khiêm tốn
前景	/qiánjǐng/	Triển vọng, tiền đồ
潜力	/qiánlì/	Tiềm năng
前期	/qiánqī/	Giai đoạn đầu
前提	/qiántí/	Điều kiện tiên quyết
前者	/qiánzhě/	Người/vật trước (trong hai cái)
枪	/qiāng/	Súng
墙壁	/qiángbì/	Tường
强化	/qiánghuà/	Củng cố, tăng cường
强壮	/qiángzhuàng/	Khỏe mạnh; làm khỏe mạnh
强迫	/qiǎngpò/	Ép buộc
瞧	/qiáo/	Nhìn, xem
桥梁	/qiáoliáng/	Cầu
巧妙	/qiǎomiào/	Khéo léo, tinh tế
切实	/qièshí/	Thiết thực, cụ thể
亲密	/qīnmì/	Thân mật, gắn bó
亲属	/qīnshǔ/	Họ hàng, thân nhân
勤劳	/qínláo/	Siêng năng, cần cù
清	/qīng/	Trong, sạch; làm sạch
清晨	/qīngchén/	Sáng sớm
青春	/qīngchūn/	Tuổi thanh xuân
青春期	/qīngchūnqī/	Thời kỳ thiếu niên
清淡	/qīngdàn/	Nhạt, thanh đạm
清洁	/qīngjié/	Sạch sẽ
清理	/qīnglǐ/	Dọn dẹp, xử lý
清扫	/qīngsǎo/	Quét dọn
倾听	/qīngtīng/	Lắng nghe
清洗	/qīngxǐ/	Rửa sạch
清晰	/qīngxī/	Rõ ràng
倾向	/qīngxiàng/	Có xu hướng; xu hướng
清醒	/qīngxǐng/	Tỉnh táo; tỉnh lại
情节	/qíngjié/	Cốt truyện
晴朗	/qínglǎng/	Quang đãng, nắng đẹp
情形	/qíngxing/	Tình hình
求	/qiú/	Cầu, xin, tìm kiếm
求婚	/qiúhūn/	Cầu hôn
求救	/qiújiù/	Cầu cứu
求职	/qiúzhí/	Tìm việc
求助	/qiúzhù/	Cầu cứu, xin giúp đỡ
区分	/qūfēn/	Phân biệt
渠道	/qúdào/	Kênh, đường lối
曲	/qǔ/	Bản nhạc, giai điệu
娶	/qǔ/	Cưới (vợ)
取代	/qǔdài/	Thay thế
趣味	/qùwèi/	Sở thích, thú vị
圈	/quān/	Vòng tròn; khoanh tròn
全程	/quánchéng/	Toàn trình, suốt chặng đường
权力	/quánlì/	Quyền lực
券	/quàn/	Vé, phiếu
缺陷	/quēxiàn/	Khiếm khuyết
确立	/quèlì/	Xác lập
群众	/qúnzhòng/	Quần chúng, đông đảo
燃料	/ránliào/	Nhiên liệu
染	/rǎn/	Nhuộm
热点	/rèdiǎn/	Điểm nóng
热度	/rèdù/	Nhiệt độ, độ nóng
热门	/rèmén/	Hot, phổ biến
热水器	/rèshuǐqì/	Bình nóng lạnh
热线	/rèxiàn/	Đường dây nóng
热议	/rèyì/	Thảo luận sôi nổi
人工智能	/réngōng zhìnéng/	Trí tuệ nhân tạo
人家	/rénjia/	Người ta, nhà người ta (hoặc tôi/anh trong khẩu ngữ)
人均	/rénjūn/	Bình quân đầu người
人山人海	/rénshān-rénhǎi/	Người đông như nêm (biển người)
人士	/rénshì/	Nhân sĩ, nhân vật
人事	/rénshì/	Nhân sự
人为	/rénwéi/	Nhân tạo
人行道	/rénxíngdào/	Vỉa hè, đường đi bộ
忍受	/rěnshòu/	Chịu đựng
认错	/rèncuò/	Nhận lỗi
认定	/rèndìng/	Xác định, cho là
认可	/rènkě/	Thừa nhận, tán thành
认同	/rèntóng/	Đồng cảm, tán đồng
认知	/rènzhī/	Nhận thức
仍旧	/réngjiù/	Vẫn còn, vẫn như cũ
日后	/rìhòu/	Sau này, tương lai
日前	/rìqián/	Vài ngày trước
日夜	/rìyè/	Ngày đêm
日益	/rìyì/	Ngày càng
融合	/rónghé/	Hòa quyện, hòa nhập
融化	/rónghuà/	Tan chảy
容量	/róngliàng/	Dung lượng, sức chứa
融入	/róngrù/	Hòa nhập vào
荣誉	/róngyù/	Danh dự, vinh dự
柔软	/róuruǎn/	Mềm mại
入境	/rùjìng/	Nhập cảnh
入门	/rùmén/	Nhập môn, cơ bản; sách nhập môn
入选	/rùxuǎn/	Được chọn, lọt vào danh sách
弱点	/ruòdiǎn/	Điểm yếu
撒	/sǎ/	Rắc, vãi
塞	/sāi/	Nhét, chèn; nút chặn
赛事	/sàishì/	Giải đấu, trận đấu
散	/sǎn/	Rải rác, phân tán
散文	/sǎnwén/	Văn xuôi
散	/sàn/	Tan ra, phân tán
散发	/sànfā/	Phát ra, tỏa ra
嗓子	/sǎngzi/	Cổ họng
丧失	/sàngshī/	Mất đi
扫描	/sǎomiáo/	Quét (scan)
杀	/shā/	Giết
刹车	/shāchē/	Phanh, đạp phanh; phanh xe
鲨鱼	/shāyú/	Cá mập
筛选	/shāixuǎn/	Lọc, sàng lọc
山顶	/shāndǐng/	Đỉnh núi
山峰	/shānfēng/	Đỉnh núi cao
山坡	/shānpō/	Sườn núi
闪	/shǎn/	Lóe sáng, chớp
闪电	/shǎndiàn/	Tia chớp
扇	/shàn/	Cái (cửa, cửa sổ)
商标	/shāngbiāo/	Nhãn hiệu, thương hiệu
伤口	/shāngkǒu/	Vết thương
伤亡	/shāngwáng/	Bị thương; thương vong
伤员	/shāngyuán/	Người bị thương
上当	/shàngdàng/	Bị lừa, mắc bẫy
上级	/shàngjí/	Cấp trên
上进	/shàngjìn/	Tiến bộ, cầu tiến
上市	/shàngshì/	Niêm yết, lên sàn
上述	/shàngshù/	Đã nêu trên
上台	/shàngtái/	Lên sân khấu
上旬	/shàngxún/	Đầu tháng
少儿	/shào’ér/	Thiếu nhi
舌头	/shétou/	Lưỡi
社	/shè/	Xã hội, hội
射	/shè/	Bắn, phóng
涉及	/shèjí/	Liên quan đến
射击	/shèjī/	Bắn súng
摄像	/shèxiàng/	Quay phim
设想	/shèxiǎng/	Tưởng tượng, phác thảo
摄像头	/shèxiàngtóu/	Camera
身心	/shēnxīn/	Thân tâm
深夜	/shēnyè/	Khuya muộn
神	/shén/	Thần thánh; tuyệt vời
神经	/shénjīng/	Thần kinh
神奇	/shénqí/	Kỳ diệu, thần kỳ
审美	/shěnměi/	Thẩm mỹ
升	/shēng/	Lít
生成	/shēngchéng/	Tạo ra, sinh ra
声调	/shēngdiào/	Thanh điệu
生命力	/shēngmìnglì/	Sức sống
生态	/shēngtài/	Sinh thái
升学	/shēngxué/	Lên cấp cao hơn
剩余	/shèngyú/	Còn dư, dư thừa
诗词	/shīcí/	Thơ từ
湿度	/shīdù/	Độ ẩm
师父	/shīfu/	Thầy, sư phụ
诗歌	/shīgē/	Thơ ca
狮子	/shīzi/	Sư tử
识	/shí/	Biết, nhận biết
拾	/shí/	Nhặt, lượm
识别	/shíbié/	Nhận diện, phân biệt
时光	/shíguāng/	Thời gian, khoảnh khắc
实话	/shíhuà/	Lời thật
实惠	/shíhuì/	Lợi ích thiết thực; rẻ và tốt
时机	/shíjī/	Cơ hội
时尚	/shíshàng/	Thời trang; hợp thời trang
实时	/shíshí/	Thời gian thực
时速	/shísù/	Tốc độ giờ
石油	/shíyóu/	Dầu mỏ
食欲	/shíyù/	Thèm ăn, khẩu vị
实质	/shízhì/	Bản chất
十足	/shízú/	Đầy đủ, trọn vẹn
使劲	/shǐjìn/	Dùng sức, cố gắng
士兵	/shìbīng/	Binh sĩ
适度	/shìdù/	Vừa phải, hợp lý
示范	/shìfàn/	Minh họa, làm mẫu
释放	/shìfàng/	Giải phóng, thả ra
事后	/shìhòu/	Sau sự việc
视觉	/shìjué/	Thị giác
势力	/shìlì/	Thế lực, ảnh hưởng
视力	/shìlì/	Thị lực
