爸爸爱妈妈。	/Bàba ài māmā/	Ba yêu mẹ.
你喜欢吃什么？	/Nǐ xǐhuan chī shénme/	Bạn thích ăn gì?
你们要去哪儿？	/Nǐmen yào qù nǎr/	Các bạn muốn đi đâu?
你是几年级的学生？	/Nǐ shì jǐ niánjí de xuéshēng/	Bạn là học sinh lớp mấy?
您喜欢喝茶还是喝咖啡？	/Nín xǐhuan hē chá háishì hē kāfēi/	Ngài thích uống trà hay cà phê?
我喜欢喝牛奶。	/Wǒ xǐhuan hē niúnǎi/	Tôi thích uống sữa.
我的女儿非常可爱。	/Wǒ de nǚ ér fēicháng kě ài/	Con gái tôi rất dễ thương.
你家女孩儿几岁了？	/Nǐ jiā nǚháir jǐ suì le/	Con gái nhà bạn mấy tuổi rồi?
你有女朋友吗？	/Nǐ yǒu nǚ péngyǒu ma/	Cậu có bạn gái chưa?
女人都喜欢买漂亮的衣服。	/Nǚrén dōu xǐhuān mǎi piàoliang de yīfu/	Phụ nữ đều thích mua quần áo đẹp.
这些女生喜欢画画。	/Zhèxiē nǚshēng xǐhuān huà huà/	Những nữ sinh này thích vẽ.
厨房在客厅的旁边。	/Chúfáng zài kètīng de pángbiān/	Nhà bếp ở bên cạnh phòng khách.
他每天早上都跑步。	/Tā měitiān zǎoshang dōu pǎobù/	Anh ấy chạy bộ mỗi sáng.
我有很多朋友。	/Wǒ yǒu hěn duō péngyou/	Tôi có rất nhiều bạn.
这件衣服很漂亮。	/Zhè jiàn yīfu hěn piàoliang/	Bộ quần áo này rất đẹp.
我有七本书。	/Wǒ yǒu qī běn shū/	Tôi có bảy quyển sách.
今天睡到上午10点才起。	/Jīntiān shuì dào shàngwǔ 10 diǎn cái qǐ/	Nay ngủ đến 10 giờ mới dậy.
我每天六点起床。	/Wǒ měitiān liù diǎn qǐchuáng/	Mỗi ngày tôi thức dậy lúc 6 giờ.
他站起来了。	/Tā zhàn qǐlái le/	Anh ấy đứng dậy rồi.
这辆汽车是我爸爸的。	/Zhè liàng qìchē shì wǒ bàba de/	Hai chiếc ô tô này là của bố tôi.
他12号前会回来。	/Tā 12 hào qián huì huílái/	Anh ấy sẽ trở lại trước ngày 12.
学校就在前边。	/Xuéxiào jiù zài qiánbiān/	Trường học ở ngay phía trước.
我前天去了上海。	/Wǒ qiántiān qù le Shànghǎi/	Hôm kia tôi đã đi Thượng Hải.
我没钱。	/Wǒ méi qián/	Tôi không có tiền.
"我的钱包不见了。	"	/Wǒ de qiánbāo bú jiàn le/	Ví tiền của tôi bị mất rồi.
请给我一杯水。	/Qǐng gěi wǒ yì bēi shuǐ/	Xin hãy cho tôi một cốc nước.
老师，今天我想请假。	/Lǎoshī, jīntiān wǒ xiǎng qǐngjià/	Thầy ơi, hôm nay em muốn xin nghỉ.
请进，大家都在等你。	/Qǐng jìn, dàjiā dōu zài děng nǐ/	Mời vào, mọi người đang chờ bạn.
请问您有空吗？	/Qǐngwèn nín yǒu kòng ma/	Xin hỏi anh có rảnh không ạ?
欢迎光临，请坐。	/Huānyíng guānglín, qǐng zuò/	Chào mừng quý khách, mời ngồi.
他喜欢踢足球。	/Tā xǐhuan tī zúqiú/	Anh ấy thích đá bóng.
他吃完饭就去了。	/Tā chī wán fàn jiù qù le/	Anh ấy ăn xong rồi đi ngay.
去年我买了一辆新车。	/Qùnián wǒ mǎi le yī liàng xīnchē/	Năm ngoái tôi đã mua một chiếc xe mới.
今天的天气很热。	/Jīntiān de tiānqì hěn rè/	Thời tiết của hôm nay rất nóng.
这个世界上有很多好人。	/Zhège shìjiè shàng yǒu hěn duō hǎorén/	Trên thế giới này có rất nhiều người tốt.
我认识他。	/Wǒ rènshi tā/	Tôi quen biết anh ấy.
他学习很认真。	/Tā xuéxí hěn rènzhēn/	Anh ấy học rất chăm chỉ.
文件的日期写错了。	/Wénjiàn de rìqí xiě cuò le/	Ngày tháng trên tài liệu bị sai rồi.
我喜欢吃鸡肉。	/Wǒ xǐhuan chī jīròu/	Tôi thích ăn thịt gà.
我有三个好朋友。	/Wǒ yǒu sān gè hǎo péngyǒu/	Tôi có ba người bạn tốt.
那座山很高。	/Nà zuò shān hěn gāo/	Ngọn núi đó rất cao.
我们去商场买衣服吧。	/Wǒmen qù shāngchǎng mǎi yīfú ba/	Chúng ta đi trung tâm thương mại mua quần áo đi.
这个商店很大。	/Zhège shāngdiàn hěn dà/	Cửa hàng này rất lớn.
书在桌子上。	/Shū zài zhuōzi shàng/	Quyển sách ở trên bàn.
他每天八点上班。	/Tā měitiān bā diǎn shàngbān/	Mỗi ngày anh ấy đi làm lúc 8 giờ.
笔在书的上边。	/Bǐ zài shū de shàngbiān/	Cây bút ở phía trên quyển sách.
我们快上车吧。	/Wǒmen kuài shàng chē ba/	Chúng ta mau lên xe đi.
上次我们去上海了。	/Shàng cì wǒmen qù Shànghǎi le/	Lần trước chúng tôi đã đi Thượng Hải.
现在是上课时间。	/Xiànzài shì shàngkè shíjiān/	Bây giờ là thời gian lên lớp.
他喜欢上网买东西。	/Tā xǐhuan shàng wǎng mǎi dōngxi/	Anh ấy thích mua hàng online.
我上午有一个会议。	/Wǒ shàngwǔ yǒu yī gè huìyì/	Tôi có một cuộc họp vào buổi sáng.
孩子们七点上学。	/Háizimen qī diǎn shàng xué/	Bọn trẻ đi học lúc 7 giờ.
这里的人很少。	/Zhèlǐ de rén hěn shǎo/	Ở đây rất ít người.
这是谁的书？	/Zhè shì shéi de shū/	Đây là sách của ai?
你身上有钱吗？	/Nǐ shēnshang yǒu qián ma/	Bạn có tiền trong người không?
你身体好吗？	/Nǐ shēntǐ hǎo ma/	Sức khỏe của bạn có tốt không?
你想吃什么？	/Nǐ xiǎng chī shénme/	Bạn muốn ăn gì?
他昨天生病了。	/Tā zuótiān shēng bìng le/	Hôm qua anh ấy bị bệnh.
妈妈生气了。	/Māmā shēngqì le/	Mẹ giận rồi.
你的生日是几月几号？	/Nǐ de shēngrì shì jǐ yuè jǐ hào/	Sinh nhật của bạn là ngày mấy tháng mấy?
他十岁就会游泳。	/Tā shí suì jiù huì yóuyǒng/	Anh ấy mười tuổi đã biết bơi.
你什么时候去北京？	/Nǐ shénme shíhòu qù Běijīng/	Khi nào bạn đi Bắc Kinh?
时间过得真快。	/Shíjiān guò dé zhēn kuài/	Thời gian trôi qua thật nhanh.
这是一件重要的事。	/Zhè shì yī jiàn zhòngyào de shì/	Đây là một việc quan trọng.
我可以试一试吗？	/Wǒ kěyǐ shì yī shì ma?/	Tôi có thể thử một chút không?
他是我的好朋友。	/Tā shì wǒ de hǎo péngyǒu/	Anh ấy là bạn tốt của tôi.
这件事是不是你做的？	/Zhè jiàn shì shì bùshì nǐ zuò de/	Việc này có phải cậu làm không?
请把手洗干净。	/Qǐng bǎ shǒu xǐ gānjìng/	Hãy rửa tay sạch sẽ.
我的手机在那里。	/Wǒ de shǒujī zài nàlǐ/	Điện thoại của tôi ở đằng kia.
我喜欢看书。	/Wǒ xǐhuan kàn shū/	Tôi thích đọc sách.
我的书包里有苹果。	/Wǒ de shūbāo lǐ yǒu píngguǒ/	Trong cặp sách của tôi có một quả táo.
我喜欢去书店。	/Wǒ xǐhuan qù shūdiàn/	Tôi thích đi nhà sách.
这里有一棵大树。	/Zhè lǐ yǒu yī kē dà shù/	Ở đây có một cái cây lớn.
我想喝水。	/Wǒ xiǎng hē shuǐ/	Tôi muốn uống nước.
我每天都吃水果。	/Wǒ měitiān dōu chī shuǐguǒ/	Tôi ăn trái cây mỗi ngày.
他昨天晚上睡得很早。	/Tā zuótiān wǎnshàng shuì de hěn zǎo/	Tối qua anh ấy ngủ rất sớm.
孩子们都去睡觉了。	/Háizǐmen dōu qù shuìjiào le/	Bọn trẻ đều đi ngủ rồi.
我会说汉语。	/Wǒ huì shuō Hànyǔ/	Tôi biết nói tiếng Trung.
请不要大声说话。	/Qǐng bùyào dàshēng shuōhuà/	Vui lòng đừng nói chuyện lớn tiếng.
他家有四口人。	/Tā jiā yǒu sì kǒu rén/	Gia đình anh ấy có bốn người.
我送你一本书。	/Wǒ sòng nǐ yī běn shū/	Tôi tặng bạn một quyển sách.
她今年二十岁了。	/Tā jīnnián èrshí suì le/	Cô ấy năm nay 20 tuổi rồi.
他是我的朋友。	/Tā shì wǒ de péngyǒu/	Anh ấy là bạn của tôi.
他们在学校学习。	/Tāmen zài xuéxiào xuéxí/	Họ đang học ở trường.
她喜欢听音乐。	/Tā xǐhuan tīng yīnyuè/	Cô ấy thích nghe nhạc.
她们正在看书。	/Tāmen zhèngzài kàn shū/	Họ đang đọc sách.
这个菜太好吃了。	/Zhège cài tài hǎochī le/	Món ăn này quá ngon.
今天天气很好。	/Jīntiān tiānqì hěn hǎo/	Hôm nay thời tiết rất đẹp.
他在听歌。	/Tā zài tīng gē/	Anh ấy đang nghe nhạc.
我听到了你的声音。	/Wǒ tīngdào le nǐ de shēngyīn/	Tôi đã nghe thấy giọng của bạn.
你听见了吗？	/Nǐ tīngjiàn le ma/	Bạn có nghe thấy không?
我们今天有听写考试。	/Wǒmen jīntiān yǒu tīngxiě kǎoshì/	Hôm nay chúng tôi có bài kiểm tra chính tả.
这是我的同学。	/Zhè shì wǒ de tóngxué/	Đây là bạn học của tôi.
学校里有三个图书馆。	/Xuéxiào li yǒu sān gè túshū guǎn/	Trường có ba thư viện.
我们去外面吃饭吧。	/Wǒmen qù wàimiàn chīfàn ba/	Chúng ta ra ngoài ăn đi.
外边有很多漂亮的花。	/Wàibian yǒu hěnduō piàoliang de huā/	Bên ngoài có rất nhiều hoa đẹp.
他是外国人。	/Tā shì wàiguó rén/	Anh ấy là người nước ngoài.
你会说几种外语？	/Nǐ huì shuō jǐ zhǒng wàiyǔ/	Bạn biết nói mấy thứ tiếng nước ngoài?
孩子们喜欢玩儿游戏。	/Háizimen xǐhuān wánr yóuxì/	Bọn trẻ thích chơi trò chơi.
现在太晚了，快睡吧。	/Xiànzài tài wǎn le, kuài shuì ba/	Bây giờ quá muộn rồi, mau ngủ đi.
我们一起吃晚饭吧。	/Wǒmen yìqǐ chī wǎnfàn ba/	Chúng ta cùng đi ăn tối nhé.
晚上我们一起去看电影吧。	/Wǎnshàng wǒmen yìqǐ qù kàn diànyǐng ba/	Buổi tối chúng ta cùng đi xem phim nhé.
现在很多人喜欢在网上买东西。	/Xiànzài hěnduō rén xǐhuān zài wǎngshàng mǎi dōngxī/	Hiện nay nhiều người thích mua đồ trên mạng.
我有很多网友。	/Wǒ yǒu hěnduō wǎngyǒu/	Tôi có nhiều bạn trên mạng.
我忘了带钱包。	/Wǒ wàng le dài qiánbāo/	Tôi quên mang ví tiền rồi.
请不要忘记明天的会议。	/Qǐng bú yào wàngjì míngtiān de huìyì/	Xin đừng quên cuộc họp ngày mai.
你可以问问老师这个问题。	/Nǐ kěyǐ wèn wèn lǎoshī zhège wèntí/	Bạn có thể hỏi giáo viên câu hỏi này.
我是学生。	/Wǒ shì xuéshēng/	Tôi là học sinh.
我们是好朋友。	/Wǒmen shì hǎo péngyǒu/	Chúng tôi là bạn tốt của nhau.
她今天买了五个苹果。	/Tā jīntiān mǎi le wǔ gè píngguǒ/	Hôm nay cô ấy đã mua năm quả táo.
我们一起去吃午饭吧。	/Wǒmen yīqǐ qù chī wǔfàn ba/	Chúng ta cùng đi ăn trưa nhé.
我家在学校西边。	/Wǒ jiā zài xuéxiào xībiān/	Nhà tôi ở phía tây của trường.
现在我要洗衣服。	/Xiànzài wǒ yào xǐ yīfu/	Bây giờ tôi phải giặt quần áo.
请问，洗手间在哪里？	/Qǐngwèn, xǐshǒujiān zài nǎlǐ/	Xin hỏi, nhà vệ sinh ở đâu?
我很喜欢吃中国菜。	/Wǒ hěn xǐhuan chī Zhōngguó cài/	Tôi rất thích ăn món Trung Quốc.
上有父母，下有儿女。	/Shàng yǒu fùmǔ, xià yǒu érnǚ/	Trên có cha mẹ, dưới có con cái.
下课后一起去吃饭吧。	/Xiàkè hòu yīqǐ qù chīfàn ba/	Tan học xong cùng đi ăn nhé.
我今晚八点下班。	/Wǒ jīn wǎn bā diǎn xiàbān/	Tối nay tôi tan làm lúc 8 giờ.
桌子下边有一只猫。	/Zhuōzi xiàbian yǒu yī zhī māo/	Dưới bàn có một con mèo.
我要在这一站下车。	/Wǒ yào zài zhè yí zhàn xià chē/	Tôi muốn xuống xe ở trạm này.
下次我们一起去看电影吧。	/Xià cì wǒmen yīqǐ qù kàn diànyǐng ba/	Lần sau chúng ta cùng đi xem phim nhé.
下课后，我们去喝奶茶吧。	/Xiàkè hòu, wǒmen qù hē nǎichá ba/	Tan học xong, chúng ta đi uống trà sữa nhé.
我下午三点有个会议。	/Wǒ xiàwǔ sān diǎn yǒu gè huìyì/	Tôi có một cuộc họp vào lúc 3 giờ chiều.
今天会下雨，你带伞了吗？	/Jīntiān huì xiàyǔ, nǐ dài sǎn le ma/	Hôm nay trời sẽ mưa, bạn đã mang ô chưa?
你先去，我等一下再去。	/Nǐ xiān qù, wǒ děng yīxià zài qù/	Bạn đi trước đi, tôi sẽ đi sau.
这位是李先生。	/Zhè wèi shì Lǐ xiānsheng/	Đây là ông Lý.
我现在就去做。	/Wǒ xiànzài jiù qù zuò/	Tôi đi làm bây giờ đây.
我想去日本旅游。	/Wǒ xiǎng qù Rìběn lǚyóu/	Tôi muốn đi du lịch Nhật Bản.
这只狗很小，很可爱。	/Zhè zhī gǒu hěn xiǎo, hěn kě'ài/	Con chó này rất nhỏ, rất đáng yêu.
小孩儿喜欢玩游戏。	/Xiǎoháir xǐhuan wán yóuxì/	Trẻ con thích chơi trò chơi.
王小姐是我的同事。	/Wáng xiǎojiě shì wǒ de tóngshì/	Cô Vương là đồng nghiệp của tôi.
小朋友们都喜欢听故事。	/Xiǎopéngyǒu men dōu xǐhuan tīng gùshì/	Các bạn nhỏ đều thích nghe kể chuyện.
我等了一个小时。	/Wǒ děng le yí gè xiǎoshí/	Tôi đã đợi 1 tiếng.
我弟弟上小学二年级。	/Wǒ dìdi shàng xiǎoxué èr niánjí/	Em trai tôi học lớp 2 tiểu học.
她是个聪明的小学生。	/Tā shì gè cōngmíng de xiǎoxuéshēng/	Cô bé ấy là một học sinh tiểu học thông minh.
她的笑容很美。	/Tā de xiàoróng hěn měi/	Nụ cười của cô ấy rất đẹp.
请写下你的名字。	/Qǐng xiě xià nǐ de míngzi/	Vui lòng viết tên của bạn xuống.
谢谢你的帮助。	/Xièxie nǐ de bāngzhù/	Cảm ơn sự giúp đỡ của bạn.
我买了一件新衣服。	/Wǒ mǎi le yí jiàn xīn yīfú/	Tôi đã mua một bộ quần áo mới.
新年快乐！	/Xīnnián kuài lè/	Năm mới vui vẻ!
这个星期很忙。	/Zhège xīngqī hěn máng/	Tuần này rất bận.
星期日我们去公园吧。	/Xīngqīrì wǒmen qù gōngyuán ba/	Chủ nhật chúng ta đi công viên nhé.
星期天我喜欢睡懒觉。	/Xīngqītiān wǒ xǐhuan shuì lǎnjiào/	Chủ nhật tôi thích ngủ nướng.
这样做行不行？	/Zhèyàng zuò xíng bù xíng/	Làm như thế này được không?
我每天都要休息一小时。	/Wǒ měitiān dōu yào xiūxi yī xiǎoshí/	Tôi phải nghỉ ngơi một giờ mỗi ngày.
我在学汉语。	/Wǒ zài xué Hànyǔ/	Tôi đang học tiếng Trung.
她是我的学生。	/Tā shì wǒ de xuéshēng/	Cô ấy là học sinh của tôi.
我们应该认真学习。	/Wǒmen yīnggāi rènzhēn xuéxí/	Chúng ta nên học tập chăm chỉ.
我们学校很大。	/Wǒmen xuéxiào hěn dà/	Trường của chúng tôi rất lớn.
这个学院很大很漂亮。	/Zhège xuéyuàn hěn dà hěn piàoliang/	Học viện này rất lớn và đẹp.
我想要一杯咖啡。	/Wǒ xiǎng yào yī bēi kāfēi/	Tôi muốn một ly cà phê.
我爷爷每天去公园散步。	/Wǒ yéye měitiān qù gōngyuán sànbù/	Mỗi ngày ông nội tôi đi dạo trong công viên.
我也喜欢吃苹果。	/Wǒ yě xǐhuan chī píngguǒ/	Tôi cũng thích ăn táo.
请翻到第五页。	/Qǐng fān dào dì wǔ yè/	Vui lòng lật đến trang 5.
我只有一个妹妹。	/Wǒ zhǐ yǒu yī gè mèimei/	Tôi chỉ có một em gái.
这件衣服很漂亮。	/Zhè jiàn yīfu hěn piàoliang/	Bộ quần áo này rất đẹp.
我爸爸是一名医生。	/Wǒ bàba shì yī míng yīshēng/	Bố tôi là một bác sĩ.
他生病了，要去医院。	/Tā shēngbìng le, yào qù yīyuàn/	Anh ấy bị ốm, cần đến bệnh viện.
我们班一半是男生。	/Wǒmen bān yíbàn shì nánshēng/	Một nửa lớp chúng tôi là nam sinh.
请等我一会儿。	/Qǐng děng wǒ yíhuìr/	Vui lòng đợi tôi một lát.
我们一块儿去公园吧。	/Wǒmen yíkuàir qù gōngyuán ba/	Chúng ta cùng đi công viên nhé.
你等我一下儿。	/Nǐ děng wǒ yíxiàr/	Đợi tôi một chút.
这两件衣服一样。	/Zhè liǎng jiàn yīfu yíyàng/	Hai bộ quần áo này giống nhau.
她一边吃饭，一边看书。	/Tā yìbiān chīfàn, yìbiān kànshū/	Cô ấy vừa ăn vừa đọc sách.
我想喝一点儿水。	/Wǒ xiǎng hē yìdiǎnr shuǐ/	Tôi muốn uống một chút nước.
我们一起去看电影吧。	/Wǒmen yìqǐ qù kàn diànyǐng ba/	Chúng ta cùng đi xem phim nhé.
这里有一些苹果。	/Zhèlǐ yǒu yìxiē píngguǒ/	Ở đây có một vài quả táo.
你可以用我的手机。	/Nǐ kěyǐ yòng wǒ de shǒujī/	Bạn có thể dùng điện thoại của tôi.
我有一个好朋友。	/Wǒ yǒu yī gè hǎo péngyǒu/	Tôi có một người bạn tốt.
有的人喜欢喝咖啡,有的人喜欢喝茶。	/Yǒude rén xǐhuan hē kāfēi，yǒude rén xǐhuan hē chá/	Có người thích uống cà phê, có người thích uống trà.
这家餐厅很有名。	/Zhè jiā cāntīng hěn yǒumíng/	Nhà hàng này rất nổi tiếng.
我有时候去图书馆学习。	/Wǒ yǒu shíhòu qù túshūguǎn xuéxí/	Đôi khi tôi đến thư viện học.
这里有一些书。	/Zhèlǐ yǒu yìxiē shū/	Ở đây có một vài cuốn sách.
这本书很有用。	/Zhè běn shū hěn yǒuyòng/	Cuốn sách này rất hữu ích.
商店在银行的右边。	/Shāngdiàn zài yínháng de yòubian/	Cửa hàng ở bên phải ngân hàng.
今天下雨了。	/Jīntiān xià yǔ le/	Hôm nay trời mưa rồi.
这本书五十元。	/Zhè běn shū wǔshí yuán/	Cuốn sách này giá 50 tệ.
我家离学校很远。	/Wǒ jiā lí xuéxiào hěn yuǎn/	Nhà tôi cách trường học rất xa.
请再说一遍。	/Qǐng zài shuō yí biàn/	Xin hãy nói lại một lần nữa.
我在家看电视。	/Wǒ zài jiā kàn diànshì/	Tôi ở nhà xem tivi.
周末我一般在家休息。	/Zhōumò wǒ yībān zàijiā xiūxi/	Cuối tuần tôi thường ở nhà nghỉ ngơi.
今天你起得很早。	/Jīntiān nǐ qǐ de hěn zǎo/	Hôm nay bạn dậy rất sớm.
你今天吃早饭了吗？	/Nǐ jīntiān chī zǎofàn le ma/	Hôm nay bạn đã ăn sáng chưa?
早上空气很好。	/Zǎoshang kōngqì hěn hǎo/	Không khí buổi sáng rất tốt.
你怎么来学校的？	/Nǐ zěnme lái xuéxiào de/	Bạn đến trường bằng cách nào?
请站在这儿。	/Qǐng zhàn zài zhèr/	Xin hãy đứng ở đây.
我要去北京站。	/Wǒ yào qù Běijīng zhàn/	Tôi muốn đi đến Ga Bắc Kinh.
我在找我的手机。	/Wǒ zài zhǎo wǒ de shǒujī/	Tôi đang tìm điện thoại của tôi.
我找到钥匙了。	/Wǒ zhǎodào yàoshi le/	Tôi tìm thấy chìa khóa rồi.
这是我的书。	/Zhè shì wǒ de shū/	Đây là sách của tôi.
你坐这边吧。	/Nǐ zuò zhèbiān ba/	Bạn ngồi bên này đi.
这里的风景很美。	/Zhè lǐ de fēngjǐng hěn měi/	Phong cảnh ở đây rất đẹp.
你来这儿看看吧。	/Nǐ lái zhèr kànkan ba/	Bạn đến chỗ này xem thử đi.
这些水果很好吃。	/Zhèxiē shuǐguǒ hěn hǎochī/	Những loại trái cây này rất ngon.
他笑着说话。	/Tā xiào zhe shuōhuà/	Anh ấy vừa cười vừa nói.
这个地方真美。	/Zhège dìfāng zhēn měi/	Nơi này thật đẹp!
你真的要去吗？	/Nǐ zhēnde yào qù ma/	Bạn thật sự muốn đi à?
我正在写作业。	/Wǒ zhèngzài xiě zuòyè/	Tôi đang làm bài tập.
你知道他的名字吗？	/Nǐ zhīdào tā de míngzi ma?/	Bạn có biết tên của anh ấy không?
学习知识很重要。	/Xuéxí zhīshi hěn zhòngyào/	Việc học rất quan trọng.
她站在房间中间。	/Tā zhàn zài fángjiān de zhōngjiān/	Cô ấy đứng ở giữa phòng.
中国是一个美丽的国家。	/Zhōngguó shì yī gè měilì de guójiā/	Trung Quốc là một đất nước xinh đẹp.
我家在学校和公司中间。	/Wǒ jiā zài xuéxiào hé gōngsī zhōngjiān/	Nhà tôi nằm giữa trường học và công ty.
你的中文很好。	/Nǐ de Zhōngwén hěn hǎo/	Tiếng Trung của bạn rất tốt
我们中午去吃饭吧。	/Wǒmen zhōngwǔ qù chīfàn ba/	Chúng ta đi ăn trưa nhé.
他是我中学同学。	/Tā shì wǒ zhōngxué tóngxué/	Anh ấy là bạn học của tôi ở trường trung học.
他是一个中学生。	/Tā shì yí gè zhōngxuéshēng/	Cậu ấy là một học sinh trung học.
学习汉语对我来说很重要。	/Xuéxí Hànyǔ duì wǒ lái shuō hěn zhòngyào/	Học tiếng Trung rất quan trọng đối với tôi.
你住在哪个城市？	/Nǐ zhù zài nǎge chéngshì/	Bạn sống ở thành phố nào?
书在桌子上，你看见了吗？	/Shū zài zhuōzi shàng, nǐ kànjiàn le ma/	Quyển sách ở trên bàn, bạn thấy chưa?
我不认识这个字。	/Wǒ bù rènshi zhège zì/	Tôi không biết chữ này.
你的桌子很大，很好看。	/Nǐ de zhuōzi hěn dà, hěn hǎokàn/	Cái bàn của bạn rất lớn, rất đẹp.
我们一起走吧，太晚了。	/Wǒmen yīqǐ zǒu ba, tài wǎn le/	Chúng ta cùng đi thôi, trễ quá rồi.
他每天早上都走路去学校。	/Tā měitiān zǎoshang dōu zǒulù qù xuéxiào/	Mỗi sáng anh ấy đều đi bộ đến trường.
你最喜欢吃什么水果？	/Nǐ zuì xǐhuan chī shénme shuǐguǒ/	Bạn thích ăn loại trái cây nào nhất?
下雨了，你最好带伞。	/Xiàyǔ le, nǐ zuìhǎo dài sǎn/	Trời mưa rồi, tốt nhất bạn nên mang ô.
最后一个问题，你听好了。	/Zuìhòu yī gè wèntí, nǐ tīng hǎo le/	Câu hỏi cuối cùng, bạn nghe kỹ nhé.
昨天天气很好，我们去公园了。	/Zuótiān tiānqì hěn hǎo, wǒmen qù gōngyuán le/	Hôm qua thời tiết rất đẹp, chúng tôi đã đi công viên.
请往左走，那边有商店。	/Qǐng wǎng zuǒ zǒu, nàbiān yǒu shāngdiàn/	Hãy đi về bên trái, bên đó có cửa hàng.
我家在学校左边。	/Wǒ jiā zài xuéxiào zuǒbian/	Nhà tôi ở bên trái trường học.
请坐这里，老师马上来。	/Qǐng zuò zhèlǐ, lǎoshī mǎshàng lái/	Mời ngồi đây, thầy giáo sẽ đến ngay.
咱们坐下谈吧。	/Zánmen zuòxia tán ba/	Chúng ta ngồi xuống nói chuyện.
我妈做中国菜非常好吃。	/Wǒ mā zuò Zhōngguó cài fēicháng hǎochī/	Mẹ tôi làm đồ ăn Trung Quốc rất ngon.
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
