啊	/ā/	À, ừ (biểu thị cảm thán)
生意	/shēngyi/	Kinh doanh
省	/shěng/	Tỉnh
剩	/shèng/	Còn lại
失败	/shībài/	Thất bại; thất bại
师傅	/shīfu/	Thầy, sư phụ (dùng tôn xưng thợ)
失去	/shīqù/	Mất đi
师生	/shīshēng/	Thầy trò
失望	/shīwàng/	Thất vọng; thất vọng
十分	/shífēn/	Rất, vô cùng
实际	/shíjì/	Thực tế; thực tế
时间表	/shíjiānbiǎo/	Lịch trình, thời gian biểu
实际上	/shíjìshàng/	Thực ra, trên thực tế
食品	/shípǐn/	Thực phẩm
食堂	/shítáng/	Căng tin, nhà ăn
食物	/shíwù/	Thức ăn
实在	/shízài/	Thật thà; quả thật
十字路口	/shízì lùkǒu/	Ngã tư
使	/shǐ/	Làm cho, khiến
使馆	/shǐguǎn/	Đại sứ quán
使用	/shǐyòng/	Sử dụng
市场	/shìchǎng/	Chợ, thị trường
是否	/shìfǒu/	Có phải… không
适合	/shìhé/	Phù hợp
世纪	/shìjì/	Thế kỷ
视频	/shìpín/	Video
市区	/shìqū/	Khu trung tâm thành phố
试题	/shìtí/	Đề thi
适应	/shìyìng/	Thích nghi
收费	/shōufèi/	Thu phí
收入	/shōurù/	Thu nhập; thu vào
收拾	/shōushi/	Dọn dẹp, thu dọn
收听	/shōutīng/	Nghe (đài)
首	/shǒu/	Bài (bài hát, bài thơ)
首都	/shǒudū/	Thủ đô
首先	/shǒuxiān/	Trước tiên
受不了	/shòubuliǎo/	Không chịu nổi
售票员	/shòupiàoyuán/	Nhân viên bán vé
受伤	/shòushāng/	Bị thương
输	/shū/	Thua, thất bại
熟	/shú/shóu/	Chín, quen
熟悉	/shúxi/	Quen thuộc
暑假	/shǔjià/	Kỳ nghỉ hè
数	/shù/	Số, con số
数量	/shùliàng/	Số lượng
树林	/shùlín/	Rừng cây
数字	/shùzì/	Số, chữ số
帅	/shuài/	Đẹp trai
顺便	/shùnbiàn/	Nhân tiện, tiện thể
顺利	/shùnlì/	Suôn sẻ
顺序	/shùnxù/	Thứ tự
说法	/shuōfǎ/	Cách nói, quan điểm
说明	/shuōmíng/	Giải thích; lời giải thích
说明书	/shuōmíngshū/	Hướng dẫn sử dụng
硕士	/shuòshì/	Thạc sĩ
死	/sǐ/	Chết; chết (cực kỳ)
速度	/sùdù/	Tốc độ
塑料	/sùliào/	Nhựa
酸	/suān/	Chua
酸奶	/suānnǎi/	Sữa chua
算	/suàn/	Tính toán; coi như
随便	/suíbiàn/	Tùy ý; tùy tiện
随着	/suízhe/	Theo, cùng với
孙女	/sūnnǚ/	Cháu gái (con trai)
孙子	/sūnzi/	Cháu trai (con trai)
所有	/suǒyǒu/	Tất cả
台	/tái/	Cái (máy, xe…); sân khấu
抬	/tái/	Nhấc, nâng
抬头	/táitóu/	Ngẩng đầu
态度	/tàidù/	Thái độ
弹	/tán/	Đánh (đàn), bật
谈	/tán/	Nói chuyện, bàn
汤	/tāng/	Canh, súp
躺	/tǎng/	Nằm
趟	/tàng/	Chuyến (đi)
讨论	/tǎolùn/	Thảo luận
讨厌	/tǎoyàn/	Ghét, khó chịu; ghét
特点	/tèdiǎn/	Đặc điểm
提	/tí/	Mang, nhắc đến
提出	/tíchū/	Đề xuất
提到	/tídào/	Đề cập
提供	/tígōng/	Cung cấp
提前	/tíqián/	Làm trước, sớm hơn
提醒	/tíxǐng/	Nhắc nhở
体检	/tǐjiǎn/	Khám sức khỏe
体温	/tǐwēn/	Nhiệt độ cơ thể
体重	/tǐzhòng/	Cân nặng
填写	/tiánxiě/	Điền vào
条件	/tiáojiàn/	Điều kiện
听力	/tīnglì/	Kỹ năng nghe
听众	/tīngzhòng/	Thính giả
停	/tíng/	Dừng
停车	/tíngchē/	Đỗ xe
停车场	/tíngchēchǎng/	Bãi đỗ xe
停止	/tíngzhǐ/	Dừng lại
通	/tōng/	Thông, mở; thông suốt
通过	/tōngguò/	Thông qua; qua
通知	/tōngzhī/	Thông báo; thông báo
童年	/tóngnián/	Thời thơ ấu
同时	/tóngshí/	Đồng thời; cùng lúc
同样	/tóngyàng/	Giống nhau
桶	/tǒng/	Thùng, xô
痛	/tòng/	Đau
头痛	/tóutòng/	Đau đầu
图	/tú/	Hình, sơ đồ
图片	/túpiàn/	Hình ảnh
土	/tǔ/	Đất
推	/tuī/	Đẩy
推迟	/tuīchí/	Hoãn lại
推出	/tuīchū/	Ra mắt, giới thiệu
脱	/tuō/	Cởi
袜子	/wàzi/	Vớ, tất
外出	/wàichū/	Ra ngoài
外套	/wàitào/	Áo khoác
完全	/wánquán/	Hoàn toàn; hoàn toàn
晚安	/wǎn’ān/	Chúc ngủ ngon
晚餐	/wǎncān/	Bữa tối
网购	/wǎnggòu/	Mua sắm online
往往	/wǎngwǎng/	Thường thường
网页	/wǎngyè/	Trang web
网友	/wǎngyǒu/	Bạn mạng
网址	/wǎngzhǐ/	Địa chỉ web
危险	/wēixiǎn/	Nguy hiểm; sự nguy hiểm
为	/wéi/	Làm, là
味	/wèi/	Vị, mùi
味道	/wèidào/	Vị, mùi vị
卫生	/wèishēng/	Vệ sinh; sạch sẽ
温度	/wēndù/	Nhiệt độ
闻	/wén/	Ngửi
文件	/wénjiàn/	Tài liệu, file
文章	/wénzhāng/	Bài viết
文字	/wénzì/	Chữ viết
污染	/wūrǎn/	Ô nhiễm
无	/wú/	Không có
无法	/wúfǎ/	Không thể
无聊	/wúliáo/	Buồn chán
无论	/wúlùn/	Dù, bất kể
午餐	/wǔcān/	Bữa trưa
误会	/wùhuì/	Hiểu lầm; sự hiểu lầm
吸	/xī/	Hút, hấp thụ
西部	/xībù/	Phía Tây
西红柿	/xīhóngshì/	Cà chua
吸引	/xīyǐn/	Thu hút
细	/xì/	Mảnh, chi tiết
细心	/xìxīn/	Cẩn thận, chu đáo
下降	/xiàjiàng/	Giảm xuống
鲜	/xiān/	Tươi
鲜花	/xiānhuā/	Hoa tươi
咸	/xián/	Mặn
现金	/xiànjīn/	Tiền mặt
羡慕	/xiànmù/	Ghen tị, ngưỡng mộ
线上	/xiànshàng/	Trực tuyến
线下	/xiànxià/	Ngoại tuyến
现有	/xiànyǒu/	Hiện có, đang tồn tại
香	/xiāng/	Thơm, hương thơm
相比	/xiāngbǐ/	So sánh với
相反	/xiāngfǎn/	Ngược lại, trái ngược; ngược lại
相互	/xiānghù/	Lẫn nhau, với nhau
相同	/xiāngtóng/	Giống nhau, đồng nhất
详细	/xiángxì/	Chi tiết, tỉ mỉ
响	/xiǎng/	Kêu, vang; to, lớn
想法	/xiǎngfǎ/	Ý nghĩ, ý kiến
项	/xiàng/	Mục, khoản (dùng cho dự án, hạng mục)
消息	/xiāoxi/	Tin tức, thông tin
小吃	/xiǎochī/	Đồ ăn vặt, món ăn nhẹ
小伙子	/xiǎohuǒzi/	Chàng trai trẻ
小说	/xiǎoshuō/	Tiểu thuyết
小组	/xiǎozǔ/	Nhóm nhỏ, tổ
效果	/xiàoguǒ/	Hiệu quả, kết quả
笑话	/xiàohua/	Câu chuyện cười; đùa
血	/xiě/	Máu
心	/xīn/	Tim, lòng
辛苦	/xīnkǔ/	Vất vả, gian khổ; vất vả
心情	/xīnqíng/	Tâm trạng
信号	/xìnhào/	Tín hiệu
信息	/xìnxī/	Thông tin
信心	/xìnxīn/	Sự tự tin
兴奋	/xīngfèn/	Phấn khích; làm phấn khích
星星	/xīngxing/	Ngôi sao
醒	/xǐng/	Tỉnh, thức dậy
性	/xìng/	Tính chất, tính (dùng sau từ)
性别	/xìngbié/	Giới tính
幸福	/xìngfú/	Hạnh phúc; hạnh phúc
性格	/xìnggé/	Tính cách
兄弟	/xiōngdì/	Anh em trai
熊	/xióng/	Gấu
修	/xiū/	Sửa chữa
修理	/xiūlǐ/	Sửa chữa
许多	/xǔduō/	Nhiều
学费	/xuéfèi/	Học phí
学院	/xuéyuàn/	Học viện, khoa
压	/yā/	Ép, đè
压力	/yālì/	Áp lực
牙膏	/yágāo/	Kem đánh răng
亚洲	/Yàzhōu/	Châu Á
烟	/yān/	Thuốc lá, khói
盐	/yán/	Muối
严格	/yángé/	Nghiêm khắc; nghiêm ngặt
研究	/yánjiū/	Nghiên cứu
研究生	/yánjiūshēng/	Nghiên cứu sinh, thạc sĩ/sau đại học
严重	/yánzhòng/	Nghiêm trọng
演	/yǎn/	Diễn, biểu diễn
演唱	/yǎnchàng/	Hát, biểu diễn ca hát
演出	/yǎnchū/	Biểu diễn
眼镜	/yǎnjìng/	Kính mắt
眼前	/yǎnqián/	Trước mắt, hiện tại
演员	/yǎnyuán/	Diễn viên
阳光	/yángguāng/	Ánh nắng
养成	/yǎngchéng/	Hình thành, rèn luyện
样子	/yàngzi/	Hình dáng, vẻ ngoài
邀请	/yāoqǐng/	Mời
要是	/yàoshi/	Nếu, giả sử
钥匙	/yàoshi/	Chìa khóa
也许	/yěxǔ/	Có lẽ, có thể
夜	/yè/	Đêm; (đơn vị đêm)
夜晚	/yèwǎn/	Ban đêm
叶子	/yèzi/	Lá cây
一切	/yíqiè/	Tất cả, mọi thứ
已	/yǐ/	Đã
以内	/yǐnèi/	Trong vòng, trong
意见	/yìjiàn/	Ý kiến
一生	/yìshēng/	Cả đời
艺术	/yìshù/	Nghệ thuật
因此	/yīncǐ/	Vì vậy, do đó
引起	/yǐnqǐ/	Gây ra, dẫn đến
印象	/yìnxiàng/	Ấn tượng
赢	/yíng/	Thắng
赢得	/yíngdé/	Giành được, thắng
应聘	/yìngpìn/	Ứng tuyển
勇敢	/yǒnggǎn/	Dũng cảm
永远	/yǒngyuǎn/	Mãi mãi; vĩnh cửu
用来	/yònglái/	Dùng để
用于	/yòngyú/	Dùng cho
优点	/yōudiǎn/	Ưu điểm
幽默	/yōumò/	Hài hước
优秀	/yōuxiù/	Xuất sắc
由	/yóu/	Do, bởi
油	/yóu/	Dầu, mỡ
尤其	/yóuqí/	Đặc biệt, nhất là
游玩	/yóuwán/	Chơi đùa, du ngoạn
由于	/yóuyú/	Do, vì
友好	/yǒuhǎo/	Thân thiện
友情	/yǒuqíng/	Tình bạn
有趣	/yǒuqù/	Thú vị, hay
有效	/yǒuxiào/	Có hiệu quả; hiệu quả
友谊	/yǒuyì/	Tình hữu nghị
有着	/yǒuzhe/	Có, sở hữu
愉快	/yúkuài/	Vui vẻ, dễ chịu
于是	/yúshì/	Vì vậy, rồi thì
与	/yǔ/	Với, và
语法	/yǔfǎ/	Ngữ pháp
预习	/yùxí/	Ôn bài trước, chuẩn bị trước
原来	/yuánlái/	Ban đầu; nguyên bản; hóa ra
原谅	/yuánliàng/	Tha thứ
原因	/yuányīn/	Nguyên nhân
远离	/yuǎnlí/	Xa rời, tránh xa
院长	/yuànzhǎng/	Viện trưởng, hiệu trưởng
院子	/yuànzi/	Sân, sân nhà
约	/yuē/	Hẹn; khoảng
约会	/yuēhuì/	Hẹn hò; buổi hẹn
月饼	/yuèbǐng/	Bánh trung thu
阅读	/yuèdú/	Đọc
月份	/yuèfèn/	Tháng
云	/yún/	Mây
允许	/yǔnxǔ/	Cho phép
杂志	/zázhì/	Tạp chí
再次	/zàicì/	Lần nữa, một lần nữa
再说	/zàishuō/	Nói sau; hơn nữa
暂时	/zànshí/	Tạm thời
暂停	/zàntíng/	Tạm dừng
早餐	/zǎocān/	Bữa sáng
早晨	/zǎochen/	Buổi sáng
责任	/zérèn/	Trách nhiệm
增加	/zēngjiā/	Tăng thêm
增长	/zēngzhǎng/	Tăng trưởng
招聘	/zhāopìn/	Tuyển dụng
着	/zháo/	Chạm, dính, cháy
着火	/zháohuǒ/	Cháy
者	/zhě/	Người (dùng chỉ người làm gì)
真正	/zhēnzhèng/	Thật sự, chân chính
整	/zhěng/	Toàn bộ, nguyên
整个	/zhěnggè/	Toàn bộ, cả
整理	/zhěnglǐ/	Sắp xếp, dọn dẹp
证	/zhèng/	Giấy chứng nhận, bằng chứng
正常	/zhèngcháng/	Bình thường
正好	/zhènghǎo/	Vừa đúng, đúng lúc
证件	/zhèngjiàn/	Giấy tờ tùy thân
证明	/zhèngmíng/	Chứng minh; bằng chứng
正确	/zhèngquè/	Đúng, chính xác
正式	/zhèngshì/	Chính thức
之	/zhī/	(từ cổ, dùng nối)
支持	/zhīchí/	Ủng hộ
支付	/zhīfù/	Thanh toán
之后	/zhīhòu/	Sau đó
之间	/zhījiān/	Giữa
之前	/zhīqián/	Trước đó
知识	/zhīshi/	Kiến thức
之中	/zhīzhōng/	Trong đó, giữa
值	/zhí/	Đáng giá; có giá trị
值得	/zhídé/	Đáng, xứng đáng
直接	/zhíjiē/	Trực tiếp
植物	/zhíwù/	Cây cối, thực vật
职业	/zhíyè/	Nghề nghiệp
指	/zhǐ/	Chỉ, trỏ
指出	/zhǐchū/	Chỉ ra
只好	/zhǐhǎo/	Đành phải, không còn cách nào khác
纸巾	/zhǐjīn/	Khăn giấy
质量	/zhìliàng/	Chất lượng
至少	/zhìshǎo/	Ít nhất
中餐	/zhōngcān/	Bữa ăn Trung Quốc
中年	/zhōngnián/	Trung niên
种	/zhòng/	Trồng
重	/zhòng/	Trọng lượng; nặng, quan trọng
重点	/zhòngdiǎn/	Điểm trọng tâm; chủ yếu
重视	/zhòngshì/	Coi trọng, chú trọng
周围	/zhōuwéi/	Xung quanh
主意	/zhǔyi/	Ý kiến, kế hoạch
祝	/zhù/	Chúc
祝贺	/zhùhè/	Chúc mừng
著名	/zhùmíng/	Nổi tiếng
专门	/zhuānmén/	Chuyên môn, đặc biệt; chuyên
专业	/zhuānyè/	Chuyên ngành; chuyên nghiệp
转	/zhuǎn/	Chuyển, xoay
转发	/zhuǎnfā/	Chuyển tiếp, forward
转机	/zhuǎnjī/	Chuyển máy bay
赚	/zhuàn/	Kiếm (tiền)
装	/zhuāng/	Đóng gói, lắp, giả vờ
准	/zhǔn/	Chính xác; chắc chắn
准确	/zhǔnquè/	Chính xác
准时	/zhǔnshí/	Đúng giờ
资料	/zīliào/	Tài liệu, dữ liệu
仔细	/zǐxì/	Cẩn thận, kỹ lưỡng
自	/zì/	Từ, tự
自然	/zìrán/	Thiên nhiên; tự nhiên; tự nhiên
自习	/zìxí/	Tự học
自信	/zìxìn/	Tự tin; sự tự tin; tự tin
自学	/zìxué/	Tự học
总结	/zǒngjié/	Tóm tắt; bản tóm tắt
租	/zū/	Thuê
组	/zǔ/	Nhóm; tổ chức; nhóm
最终	/zuìzhōng/	Cuối cùng, tối hậu
尊重	/zūnzhòng/	Tôn trọng; được tôn trọng
左右	/zuǒyòu/	Khoảng; trái phải; khống chế
座	/zuò/	Ghế, chỗ ngồi; (đơn vị ghế)
做法	/zuòfǎ/	Cách làm
作家	/zuòjiā/	Nhà văn
做梦	/zuòmèng/	Mơ, nằm mơ
作品	/zuòpǐn/	Tác phẩm
作为	/zuòwéi/	Làm, coi như; với tư cách
座位	/zuòwèi/	Chỗ ngồi
作文	/zuòwén/	Bài văn; viết văn
作用	/zuòyòng/	Tác dụng; có tác dụng
作者	/zuòzhě/	Tác giả
